toward	[tɔːrdz]	к, по направлению к
succeed	[succeed]	преуспевать, иметь успех
debt	[det]	долг, задолженность
ahead	[əˈhed]	впереди, вперед, будущий
bake	[beɪk]	печь(ся), выпекать(ся)
visit	[ˈvɪzɪt]	посещать, навещать, посещение
appearance	[əˈpɪrəns]	внешний вид, появление
surround	[səˈraʊnd]	окружать
soup	[suːp]	суп
curve	[kɜːrv]	кривая, изгиб, изгибать(ся)
fur	[fɜːr]	мех
drunk	[drʌŋk]	пьяный
grandfather	[ˈɡrænfɑːðər]	дедушка
bye	[baɪ]	пока, до свидания
map	[mæp]	карта
desk	[desk]	письменный стол, парта
ring	[rɪŋ]	кольцо, звон, звонить
movie	[ˈmuːvi]	кино
pick	[pɪk]	собирать, выбирать, выбор
peace	[piːs]	мир, покой
progress	[n - ˈprɑːɡres, v - prəˈɡres]	прогресс, движение вперед, развиваться
while	[waɪl]	пока, в то время как, промежуток времени
write	[raɪt]	писать
task	[tæsk]	задача, задание
bullet	[ˈbʊlɪt]	пуля
intend	[ɪnˈtend]	намереваться
purpose	[ˈpɜːrpəs]	цель, назначение
small	[smɔːl]	маленький, небольшой
manage	[ˈmænɪdʒ]	управлять, справляться
strike	[straɪk]	ударять, бить, удар
unit	[ˈjuːnɪt]	часть, единица
concerning	[kənˈsɜːrnɪŋ]	относительно, касательно
green	[ɡriːn]	зеленый, зеленый цвет
author	[ˈɔːθər]	автор
bridge	[brɪdʒ]	мост
inner	[ˈɪnər]	внутренний
shout	[ʃaʊt]	кричать, крик
anything	[ˈeniθɪŋ]	что-нибудь, что угодно
worth	[wɜːrθ]	стоящий, стоимость
statement	[ˈsteɪtmənt]	заявление, утверждение
suitcase	[ˈsuːtkeɪs]	чемодан
person	[ˈpɜːrsn]	человек, личность
level	[ˈlevl]	уровень, степень, плоский
less	[les]	меньше, менее, меньший
alphabet	[ˈælfəbet]	алфавит
ceremony	[ˈserəmoʊni]	церемония
stair	[ster]	ступенька
will	[wɪl]	воля, желание
create	[kriˈeɪt]	создавать, порождать
president	[ˈprezɪdənt]	президент, председатель
poetry	[ˈpoʊətri]	поэзия, стихи
fix	[fɪks]	исправлять, фиксировать
allow	[əˈlaʊ]	позволять, разрешать
pretend	[prɪˈtend]	притворяться
awkward	[ˈɔːkwərd]	неловкий, неуклюжий
straight	[streɪt]	прямой, прямо
insect	[ˈɪnsekt]	насекомое
party	[ˈpɑːrti]	партия, группа
description	[dɪˈskrɪpʃn]	описание
muscle	[ˈmʌsl]	мышца, мускул
exchange	[ɪksˈtʃeɪndʒ]	обмен, обменивать
satisfy	[ˈsætɪsfaɪ]	удовлетворять
safe	[seɪf]	безопасный, надежный, сейф
weight	[weɪt]	вес
shy	[ʃaɪ]	стеснительный, застенчивый
near	[nɪr]	возле, около, недалеко
tiring	[ˈtaɪərɪŋ]	утомительный, изнурительный
attach	[əˈtætʃ]	прикреплять(ся), присоединять(ся)
conscious	[ˈkɑːnʃəs]	сознательный, сознающий
up	[ʌp]	вверх
upstairs	[ˌʌpˈsterz]	наверху, вверх по лестнице
probably	[ˈprɑːbəbli]	вероятно, наверное
protect	[prəˈtekt]	защищать, охранять
lady	[ˈleɪdi]	леди, дама
employ	[ɪmˈplɔɪ]	нанимать, применять
screw	[skruː]	винт, болт, завинчивать
strong	[strɔːŋ]	сильный
farm	[fɑːrm]	ферма
expensive	[ɪkˈspensɪv]	дорогой
note	[noʊt]	заметка, записка, замечать
meat	[miːt]	мясо
combination	[ˌkɑːmbɪˈneɪʃn]	комбинация, сочетание
tire	[ˈtaɪər]	шина, утомлять(ся)
popular	[ˈpɑːpjələr]	популярный
song	[sɔːŋ]	песня, пение
short	[ʃɔːrt]	короткий, коротко
material	[məˈtɪriəl]	материал, вещество, материальный
support	[səˈpɔːrt]	поддержка, поддерживать
patience	[ˈpeɪʃns]	терпение
replace	[rɪˈpleɪs]	заменять, замещать
southern	[ˈsʌðərn]	южный
do	[du, duː]	делать
military	[ˈmɪləteri]	военный, воинский, военные
enough	[ɪˈnʌf]	достаточный, достаточно
hat	[hæt]	шапка, шляпа
difficulty	[ˈdɪfɪkəlti]	трудность
positive	[ˈpɑːzətɪv]	позитивный, положительный
proof	[pruːf]	доказательство, непроницаемый
alone	[əˈloʊn]	одинокий, единственный, в одиночестве
undo	[ʌnˈduː]	расстегивать, развязывать
public	[ˈpʌblɪk]	общественный, народный, публика
refusal	[rɪˈfjuːzl]	отказ
officer	[ˈɔːfɪsər]	офицер, полицейский
then	[ðen]	тогда, затем
knee	[niː]	колено
spoil	[spɔɪl]	портить(ся), баловать
married	[ˈmærid]	женатый, замужняя
pan	[pæn]	кастрюля, сковорода
tobacco	[təˈbækoʊ]	табак
point	[pɔɪnt]	точка, момент, указывать
drop	[drɑːp]	ронять, капать, падение
communicate	[kəˈmjuːnɪkeɪt]	сообщать, общаться
width	[wɪdθ, wɪtθ]	ширина
castle	[ˈkæsl]	замок, дворец
gun	[ɡʌn]	пистолет, пушка
express	[ɪkˈspres]	выражать, высказывать, экспресс (поезд)
electronic	[ɪˌlekˈtrɑːnɪk]	электронный
gray	[ɡreɪ]	серый, седой, серый цвет
kilometer	[kɪˈlɑːmɪtər]	километр
produce	[prəˈduːs]	производить, выпускать, изделие
habit	[ˈhæbɪt]	привычка, обычай
zero	[ˈzɪroʊ]	ноль
frame	[freɪm]	рамка, рама
plastic	[ˈplæstɪk]	пластик, пластмасса, пластиковый
business	[ˈbɪznəs]	дело, бизнес
quarter	[ˈkwɔːrtər]	четверть, квартал
actual	[ˈæktʃuəl]	фактический, настоящий
beauty	[ˈbjuːti]	красота
change	[tʃeɪndʒ]	менять, меняться, перемена
melt	[melt]	плавить(ся), таять
drink	[drɪŋk]	пить, напиток
river	[ˈrɪvər]	река
count	[kaʊnt]	считать, подсчитывать, вычисление
air	[er]	воздух, атмосфера, проветривать
toy	[tɔɪ]	игрушка
fact	[fækt]	факт, явление
pause	[pɔːz]	пауза, делать паузу
goal	[ɡoʊl]	цель, задача
husband	[ˈhʌzbənd]	муж, супруг
science	[ˈsaɪəns]	наука
wrist	[rɪst]	запястье
past	[pæst]	прошлое, прошлый
throat	[θroʊt]	горло
embarrass	[ɪmˈbærəs]	смущать, стеснять
TV	[ˌtiː ˈviː]	телевидение, телевизор
daily	[ˈdeɪli]	ежедневный, ежедневно
weigh	[weɪ]	весить, взвешивать(ся)
laugh	[læf]	смеяться, смех
spot	[spɑːt]	пятно, место
cook	[kʊk]	готовить, повар
profit	[ˈprɑːfɪt]	прибыль, выгода
trust	[trʌst]	вера, доверие, верить
argument	[ˈɑːrɡjumənt]	аргумент, довод
fold	[foʊld]	складывать, складка
hospital	[ˈhɑːspɪtl]	больница, госпиталь
baby	[ˈbeɪbi]	ребенок, младенец, детский
experience	[ɪkˈspɪriəns]	опыт, опытность, испытывать
pleasant	[ˈpleznt]	приятный
punish	[ˈpʌnɪʃ]	наказывать
danger	[ˈdeɪndʒər]	опасность
clothes	[kloʊ(ð)z]	одежда
bell	[bel]	колокол, звонок
action	[ˈækʃn]	действие, поступок
police	[pəˈliːs]	полиция, полицейские
still	[stɪl]	по-прежнему, ещё
speak	[spiːk]	говорить
search	[sɜːrtʃ]	поиск, искать
lift	[lɪft]	поднимать(ся), подъем
boot	[buːt]	ботинок, сапог
leader	[ˈliːdər]	лидер, руководитель
whole	[hoʊl]	целый, весь, целое
result	[rɪˈzʌlt]	результат, следовать
insurance	[ɪnˈʃʊrəns]	страхование, страховка
behave	[bɪˈheɪv]	вести себя
fashionable	[ˈfæʃnəbl]	модный
bread	[bred]	хлеб
seat	[siːt]	сиденье
general	[ˈdʒenrəl]	общий, обычный, генерал
comfort	[ˈkʌmfərt]	комфорт, удобства, подбадривать
insult	[n - ˈɪnsʌlt, v - ɪnˈsʌlt]	оскорбление, оскорблять
emphasize	[ˈemfəsaɪz]	подчеркивать, акцентировать
storm	[stɔːrm]	буря, гроза
certain	[ˈsɜːrtn]	определенный, точный
tail	[teɪl]	хвост
terrible	[ˈterəbl]	ужасный
hole	[hoʊl]	дыра, отверстие
steal	[stiːl]	воровать, красть
eastern	[ˈiːstərn]	восточный
will	[wɪl]	образует будущее время
describe	[dɪˈskraɪb]	описывать
far	[fɑːr]	далекий, далеко
promise	[ˈprɑːmɪs]	обещание, обещать
rise	[raɪz]	подниматься, восходить, рост
soul	[soʊl]	душа
broad	[brɔːd]	широкий, обширный, широко
cruel	[ˈkruːəl]	жестокий
mouse	[maʊs]	мышь
different	[ˈdɪfrənt]	другой, иной
maybe	[ˈmeɪbi]	может быть
may	[meɪ]	быть вероятным, мочь
bomb	[bɑːm]	бомба, бомбить
neck	[nek]	шея
almost	[ˈɔːlmoʊst]	почти
dark	[dɑːrk]	темный, черный, темнота
thread	[θred]	нить
beak	[biːk]	клюв
news	[nuːz]	новости
hotel	[hoʊˈtel]	отель, гостиница
turn	[tɜːrn]	поворачивать, поворачиваться, поворачивание
plant	[plænt]	растение, завод, сажать
back	[bæk]	назад, обратно, задний
perhaps	[pərˈhæps]	может быть, возможно
argue	[ˈɑːrɡjuː]	спорить, утверждать
busy	[ˈbɪzi]	занятой, занятый
world	[wɜːrld]	мир
itself	[ɪtˈself]	сам, себя
building	[ˈbɪldɪŋ]	здание
advice	[ədˈvaɪs]	совет, рекомендация
sign	[saɪn]	знак, подпись, подписывать
eat	[iːt]	есть, кушать
horse	[hɔːrs]	лошадь
but	[bət, bʌt]	но, лишь
duck	[dʌk]	утка
somewhere	[ˈsʌmwer]	где-то, куда-то
queen	[kwiːn]	королева
dictionary	[ˈdɪkʃəneri]	словарь
cut	[kʌt]	резать, разрезать, разрезание
means	[miːnz]	средство, способ
sensitive	[ˈsensətɪv]	чувствительный
moment	[ˈmoʊmənt]	момент
oil	[ɔɪl]	масло, нефть, смазать
suck	[sʌk]	сосать
competition	[ˌkɑːmpəˈtɪʃn]	соревнование, конкуренция
cool	[kuːl]	прохладный, спокойный, охлаждать(ся)
course	[kɔːrs]	курс, направление, струиться
organize	[ˈɔːrɡənaɪz]	организовывать, устраивать
holiday	[ˈhɑːlədeɪ]	праздник, отпуск
crack	[kræk]	трещина, треск, трещать
metal	[ˈmetl]	металл, металлический
honest	[ˈɑːnɪst]	честный
hello	[həˈloʊ]	привет, здравствуйте
idea	[aɪˈdiːə]	идея, мысль
fifteen	[ˌfɪfˈtiːn]	пятнадцать
art	[ɑːrt]	искусство
hear	[hɪr]	слышать
wrap	[ræp]	заворачивать, обертывать
load	[loʊd]	загружать, грузить(ся), груз
sweep	[swiːp]	мести, подметать
duty	[ˈduːti]	долг, обязанность
pattern	[ˈpætərn]	образец, шаблон
society	[səˈsaɪəti]	общество
rough	[rʌf]	грубый, шероховатый
basket	[ˈbæskɪt]	корзина
finger	[ˈfɪŋɡər]	палец
arrangement	[əˈreɪndʒmənt]	соглашение, договоренность
burst	[bɜːrst]	взрыв, взрываться
fair	[fer]	честный, справедливый
operation	[ˌɑːpəˈreɪʃn]	операция, действие
current	[ˈkɜːrənt]	текущий, действующий, течение
print	[prɪnt]	печать, отпечаток, печатать
difficult	[ˈdɪfɪkəlt]	трудный, тяжелый
offense	[əˈfens]	правонарушение, оскорбление
victory	[ˈvɪktəri]	победа
spread	[spred]	распространять(ся), простирать(ся), распространение
collect	[kəˈlekt]	собирать, коллекционировать
examine	[ɪɡˈzæmɪn]	исследовать, изучать
as	[əz, æz]	как, в качестве, как
vote	[voʊt]	голосовать, голосование
shoot	[ʃuːt]	стрелять
into	[ˈɪntə, ˈɪntu, ˈɪntuː]	в, внутрь
bus	[bʌs]	автобус
flower	[ˈflaʊər]	цветок
would	[wʊd]	выражает условное наклонение
develop	[dɪˈveləp]	развивать, разрабатывать
outside	[ˌaʊtˈsaɪd]	вне, снаружи, внешний
window	[ˈwɪndoʊ]	окно
disease	[dɪˈziːz]	болезнь, заболевание
die	[daɪ]	умирать
image	[ˈɪmɪdʒ]	изображение, образ
mineral	[ˈmɪnərəl]	минерал, руда, минеральный
obtain	[əbˈteɪn]	получать
apart	[əˈpɑːrt]	отдельно, врозь
suffer	[ˈsʌfər]	страдать
finally	[ˈfaɪnəli]	в конце концов, наконец
no	[noʊ]	нет, не, никакой
know	[noʊ]	знать
another	[əˈnʌðər]	другой, иной, другой
loyal	[ˈlɔɪəl]	лояльный, верный
sense	[sens]	чувство, ощущение, чувствовать
training	[ˈtreɪnɪŋ]	подготовка, обучение
slight	[slaɪt]	незначительный, небольшой
proposal	[prəˈpoʊzl]	предложение
gentle	[ˈdʒentl]	нежный, легкий
elect	[ɪˈlekt]	избирать, выбирать
term	[tɜːrm]	срок, термин, называть
economic	[ˌiːkəˈnɑːmɪk, ˌekə-]	экономический, экономичный
already	[ɔːlˈredi]	уже
cookie	[ˈkʊki]	печенье
singular	[ˈsɪŋɡjələr]	единственный, исключительный, единственное число
moral	[ˈmɔːrəl]	моральный, нравственный, мораль
station	[ˈsteɪʃn]	станция, пункт
pants	[pænts]	брюки, штаны
moon	[muːn]	луна
feed	[fiːd]	кормить(ся)
charge	[tʃɑːrdʒ]	плата, ответственность, обвинять
benefit	[ˈbenɪfɪt]	польза, выгода, извлекать пользу
network	[ˈnetwɜːrk]	сеть
remind	[rɪˈmaɪnd]	напоминать
power	[ˈpaʊər]	сила, мощь, питать энергией
rock	[rɑːk]	камень, скала
grandparent	[ˈɡrænperənt]	бабушка или дедушка
luck	[lʌk]	удача
judge	[dʒʌdʒ]	судить, судья
disappoint	[ˌdɪsəˈpɔɪnt]	разочаровывать
ago	[əˈɡoʊ]	тому назад
want	[wɔːnt, wɑːnt]	хотеть, желать
behind	[bɪˈhaɪnd]	сзади, за, сзади
town	[taʊn]	город, городок
price	[praɪs]	цена, оценивать
scientist	[ˈsaɪəntɪst]	ученый
ticket	[ˈtɪkɪt]	билет, талон
hundred	[ˈhʌndrəd]	сто, сотня
wild	[waɪld]	дикий
burn	[bɜːrn]	гореть, сжигать, ожог
attitude	[ˈætɪtuːd]	отношение, позиция
tool	[tuːl]	инструмент, орудие
beer	[bɪr]	пиво
offend	[əˈfend]	оскорблять, нарушать что-л.
taxi	[ˈtæksi]	такси
nervous	[ˈnɜːrvəs]	нервный, нервничающий
instruction	[ɪnˈstrʌkʃn]	инструкция, указание
June	[dʒuːn]	июнь
guest	[ɡest]	гость, гостить
opportunity	[ˌɑːpərˈtuːnəti]	возможность, удобный случай
proud	[praʊd]	гордый
yard	[jɑːrd]	ярд (91,44 см), двор
break	[breɪk]	ломать, перерыв
praise	[preɪz]	похвала, хвалить
cow	[kaʊ]	корова
risk	[rɪsk]	риск, рисковать
shine	[ʃaɪn]	светить(ся), сиять
pair	[per]	пара, образовывать пару
active	[ˈæktɪv]	активный
cold	[koʊld]	холодный, холод
department	[dɪˈpɑːrtmənt]	отдел, департамент
trip	[trɪp]	поездка, путешествие, спотыкаться
approval	[əˈpruːvl]	одобрение
chocolate	[ˈtʃɔːklət]	шоколад, шоколадный
universe	[ˈjuːnɪvɜːrs]	вселенная
simple	[ˈsɪmpl]	простой, несложный
spin	[spɪn]	крутить(ся), вращать(ся), кружение
double	[ˈdʌbl]	двойной, удваивать(ся)
sport	[spɔːrt]	спорт, вид спорт
completely	[kəmˈpliːtli]	совершенно, полностью
protest	[n - ˈproʊtest, v - prəˈtest]	протест, протестовать
garden	[ˈɡɑːrdn]	сад
thief	[θiːf]	вор
whose	[huːz]	чей, чьё
lie	[laɪ]	лежать, лгать, ложь
hit	[hɪt]	ударять, поражать, удар
cause	[kɔːz]	причина, основание, вызывать
consider	[kənˈsɪdər]	рассматривать, обдумывать
form	[fɔːrm]	форма, вид, формировать
establish	[ɪˈstæblɪʃ]	учреждать, устанавливать
determine	[dɪˈtɜːrmɪn]	определять, устанавливать
rude	[ruːd]	грубый, невежливый
prisoner	[ˈprɪznər]	заключенный
heavy	[ˈhevi]	тяжелый
if	[ɪf]	если
weapon	[ˈwepən]	оружие
with	[wɪð, wɪθ]	с, вместе с
everything	[ˈevriθɪŋ]	все
university	[ˌjuːnɪˈvɜːrsəti]	университет
quite	[kwaɪt]	вполне, совершенно
structure	[ˈstrʌktʃər]	структура, строение, структурировать
whenever	[wenˈevər]	когда бы ни, всякий раз когда
full	[fʊl]	полный, целый
damage	[ˈdæmɪdʒ]	повреждение, ущерб, повреждать
relationship	[rɪˈleɪʃnʃɪp]	взаимоотношение, отношение
desire	[dɪˈzaɪər]	желание, желать
either	[ˈaɪðər, ˈiːðər]	или, любой из двух
funny	[ˈfʌni]	смешной, забавный
origin	[ˈɔːrɪdʒɪn]	начало, происхождение
though	[ðoʊ]	хотя, несмотря на, тем не менее
post	[poʊst]	почта, пост, вывешивать
better	[ˈbetər]	лучший, более подходящий, лучше
potato	[pəˈteɪtoʊ]	картофель
over	[ˈoʊvər]	через, за, через
ignore	[ɪɡˈnɔːr]	игнорировать
trade	[treɪd]	торговля, торговать
issue	[ˈɪʃuː]	проблема, пункт
yellow	[ˈjeloʊ]	желтый, желтый цвет
infection	[ɪnˈfekʃn]	инфекция, заражение
poison	[ˈpɔɪzn]	яд, отравлять
friendly	[ˈfrendli]	дружелюбный, дружественный
earth	[ɜːrθ]	земля
corner	[ˈkɔːrnər]	угол, загонять в угол
easy	[ˈiːzi]	легкий, нетрудный, легко
show	[ʃoʊ]	показывать, шоу
kid	[kɪd]	ребенок, дурачить
salary	[ˈsæləri]	зарплата, оклад
uncle	[ˈʌŋkl]	дядя
relate	[rɪˈleɪt]	соотносить(ся), иметь отношение
choice	[tʃɔɪs]	выбор
feel	[fiːl]	чувствовать, ощущать
try	[traɪ]	пытаться, стараться, попытка
skirt	[skɜːrt]	юбка
reduction	[rɪˈdʌkʃn]	сокращение, снижение
cat	[kæt]	кошка, кот
member	[ˈmembər]	участник, член группы
further	[ˈfɜːrðər]	дальнейший, далее
grain	[ɡreɪn]	зерно
hammer	[ˈhæmər]	молот(ок)
claim	[kleɪm]	требовать, утверждать, требование
property	[ˈprɑːpərti]	собственность, имущество
owe	[oʊ]	задолжать, быть должным
walk	[wɔːk]	идти, ходить, ходьба
generous	[ˈdʒenərəs]	щедрый, великодушный
reach	[riːtʃ]	достигать, добираться, охват
study	[ˈstʌdi]	изучать, исследовать, изучение
hold	[hoʊld]	держать, удерживать
enemy	[ˈenəmi]	враг, противник
what	[wɑːt, wʌt]	что
meeting	[ˈmiːtɪŋ]	собрание, встреча
example	[ɪɡˈzæmpl]	пример
everyone	[ˈevriwʌn]	каждый, все
April	[ˈeɪprəl]	апрель
hill	[hɪl]	холм
press	[pres]	нажимать, давить, пресса
chemistry	[ˈkemɪstri]	химия
strange	[streɪndʒ]	странный, чужой, незнакомый
